state,year,fire_name
CA,2025,GIFFORD
CA,2025,MADRE
CA,2025,GARNET
CA,2024,PARK
CA,2024,BOREL
CA,2024,BRIDGE
CA,2023,YORK
CA,2023,KELLY
CA,2022,MOSQUITO
CA,2022,MCKINNEY
CA,2021,DIXIE
CA,2021,MONUMENT
CA,2021,CALDOR
CA,2021,RIVER COMPLEX
CA,2021,ANTELOPE
CA,2021,MCFARLAND
CA,2021,SUGAR
CA,2021,WINDY
CA,2021,MCCASH
CA,2021,KNP COMPLEX
NV,2021,TAMARACK
CA,2020,AUGUST COMPLEX
CA,2020,SCU LIGHTNING COMPLEX
CA,2020,CREEK
CA,2020,NORTH COMPLEX
CA,2020,HENNESSEY
CA,2020,CASTLE
CA,2020,SLATER
CA,2020,RED SALMON COMPLEX
CA,2020,DOLAN
CA,2020,BOBCAT
CA,2020,CZU LIGHTNING COMPLEX
CA,2020,W-5 COLD SPRINGS
CA,2020,CALDWELL
CA,2020,GLASS
CA,2020,ZOGG
CA,2020,WALBRIDGE
CA,2020,RIVER
